Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Certification-2 TestSuite,Chrome 126.0.0.0,,,20-06-2024 14:58:03,20-06-2024 15:00:55,2m - 52.464s,PASSED
,,,,,,,
Test Cases/1st TC - Copy - Copy (15),Chrome 126.0.0.0,,,20-06-2024 14:58:03,20-06-2024 14:58:20,16.878s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,20-06-2024 14:58:03,20-06-2024 14:58:08,4.803s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 126.0.0.0,,,20-06-2024 14:58:08,20-06-2024 14:58:12,3.966s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 126.0.0.0,,,20-06-2024 14:58:12,20-06-2024 14:58:13,1.020s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Chrome 126.0.0.0,,,20-06-2024 14:58:13,20-06-2024 14:58:14,1.136s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 126.0.0.0,,,20-06-2024 14:58:14,20-06-2024 14:58:15,0.477s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Login""))",Chrome 126.0.0.0,,,20-06-2024 14:58:15,20-06-2024 14:58:16,1.063s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Visit Date (Required)_visit_date""))",Chrome 126.0.0.0,,,20-06-2024 14:58:16,20-06-2024 14:58:17,0.611s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/td_26""))",Chrome 126.0.0.0,,,20-06-2024 14:58:17,20-06-2024 14:58:17,0.458s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/form_Facility                              _20adf0""))",Chrome 126.0.0.0,,,20-06-2024 14:58:17,20-06-2024 14:58:18,0.660s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/label_Apply for hospital readmission""))",Chrome 126.0.0.0,,,20-06-2024 14:58:18,20-06-2024 14:58:18,0.441s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Book Appointment""))",Chrome 126.0.0.0,,,20-06-2024 14:58:18,20-06-2024 14:58:19,0.718s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Go to Homepage""))",Chrome 126.0.0.0,,,20-06-2024 14:58:19,20-06-2024 14:58:20,0.841s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,20-06-2024 14:58:20,20-06-2024 14:58:20,0.311s,PASSED
,,,,,,,
Test Cases/1st TC - Copy - Copy (16),Chrome 126.0.0.0,,,20-06-2024 14:58:20,20-06-2024 14:58:42,22.065s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,20-06-2024 14:58:20,20-06-2024 14:58:22,1.636s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 126.0.0.0,,,20-06-2024 14:58:22,20-06-2024 14:58:26,3.960s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 126.0.0.0,,,20-06-2024 14:58:26,20-06-2024 14:58:27,0.949s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Chrome 126.0.0.0,,,20-06-2024 14:58:27,20-06-2024 14:58:28,1.146s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 126.0.0.0,,,20-06-2024 14:58:28,20-06-2024 14:58:28,0.435s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Login""))",Chrome 126.0.0.0,,,20-06-2024 14:58:28,20-06-2024 14:58:29,1.012s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Visit Date (Required)_visit_date""))",Chrome 126.0.0.0,,,20-06-2024 14:58:29,20-06-2024 14:58:31,1.929s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/td_26""))",Chrome 126.0.0.0,,,20-06-2024 14:58:31,20-06-2024 14:58:33,2.072s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/form_Facility                              _20adf0""))",Chrome 126.0.0.0,,,20-06-2024 14:58:33,20-06-2024 14:58:35,1.939s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/label_Apply for hospital readmission""))",Chrome 126.0.0.0,,,20-06-2024 14:58:35,20-06-2024 14:58:37,2.022s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Book Appointment""))",Chrome 126.0.0.0,,,20-06-2024 14:58:37,20-06-2024 14:58:40,2.307s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Go to Homepage""))",Chrome 126.0.0.0,,,20-06-2024 14:58:40,20-06-2024 14:58:42,2.075s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,20-06-2024 14:58:42,20-06-2024 14:58:42,0.493s,PASSED
,,,,,,,
Test Cases/1st TC - Copy - Copy (17),Chrome 126.0.0.0,,,20-06-2024 14:58:42,20-06-2024 14:59:11,28.652s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,20-06-2024 14:58:42,20-06-2024 14:58:45,2.550s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 126.0.0.0,,,20-06-2024 14:58:45,20-06-2024 14:58:49,4.136s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 126.0.0.0,,,20-06-2024 14:58:49,20-06-2024 14:58:51,1.951s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Chrome 126.0.0.0,,,20-06-2024 14:58:51,20-06-2024 14:58:55,3.780s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 126.0.0.0,,,20-06-2024 14:58:55,20-06-2024 14:58:56,1.748s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Login""))",Chrome 126.0.0.0,,,20-06-2024 14:58:56,20-06-2024 14:58:59,2.417s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Visit Date (Required)_visit_date""))",Chrome 126.0.0.0,,,20-06-2024 14:58:59,20-06-2024 14:59:00,1.437s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/td_26""))",Chrome 126.0.0.0,,,20-06-2024 14:59:00,20-06-2024 14:59:02,1.985s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/form_Facility                              _20adf0""))",Chrome 126.0.0.0,,,20-06-2024 14:59:02,20-06-2024 14:59:04,2.011s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/label_Apply for hospital readmission""))",Chrome 126.0.0.0,,,20-06-2024 14:59:04,20-06-2024 14:59:06,2.035s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Book Appointment""))",Chrome 126.0.0.0,,,20-06-2024 14:59:06,20-06-2024 14:59:09,2.276s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Go to Homepage""))",Chrome 126.0.0.0,,,20-06-2024 14:59:09,20-06-2024 14:59:11,2.008s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,20-06-2024 14:59:11,20-06-2024 14:59:11,0.222s,PASSED
,,,,,,,
Test Cases/1st TC - Copy - Copy (18),Chrome 126.0.0.0,,,20-06-2024 14:59:11,20-06-2024 14:59:24,12.992s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,20-06-2024 14:59:11,20-06-2024 14:59:13,1.996s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 126.0.0.0,,,20-06-2024 14:59:13,20-06-2024 14:59:17,3.952s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 126.0.0.0,,,20-06-2024 14:59:17,20-06-2024 14:59:18,0.911s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Chrome 126.0.0.0,,,20-06-2024 14:59:18,20-06-2024 14:59:19,0.949s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 126.0.0.0,,,20-06-2024 14:59:19,20-06-2024 14:59:19,0.364s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Login""))",Chrome 126.0.0.0,,,20-06-2024 14:59:19,20-06-2024 14:59:20,1.101s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Visit Date (Required)_visit_date""))",Chrome 126.0.0.0,,,20-06-2024 14:59:20,20-06-2024 14:59:21,0.583s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/td_26""))",Chrome 126.0.0.0,,,20-06-2024 14:59:21,20-06-2024 14:59:21,0.529s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/form_Facility                              _20adf0""))",Chrome 126.0.0.0,,,20-06-2024 14:59:21,20-06-2024 14:59:22,0.545s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/label_Apply for hospital readmission""))",Chrome 126.0.0.0,,,20-06-2024 14:59:22,20-06-2024 14:59:22,0.334s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Book Appointment""))",Chrome 126.0.0.0,,,20-06-2024 14:59:22,20-06-2024 14:59:23,0.641s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Go to Homepage""))",Chrome 126.0.0.0,,,20-06-2024 14:59:23,20-06-2024 14:59:23,0.662s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,20-06-2024 14:59:23,20-06-2024 14:59:24,0.346s,PASSED
,,,,,,,
Test Cases/1st TC - Copy - Copy (19),Chrome 126.0.0.0,,,20-06-2024 14:59:24,20-06-2024 14:59:37,12.777s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,20-06-2024 14:59:24,20-06-2024 14:59:26,2.018s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 126.0.0.0,,,20-06-2024 14:59:26,20-06-2024 14:59:30,3.765s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 126.0.0.0,,,20-06-2024 14:59:30,20-06-2024 14:59:31,0.874s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Chrome 126.0.0.0,,,20-06-2024 14:59:31,20-06-2024 14:59:32,1.014s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 126.0.0.0,,,20-06-2024 14:59:32,20-06-2024 14:59:32,0.357s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Login""))",Chrome 126.0.0.0,,,20-06-2024 14:59:32,20-06-2024 14:59:33,0.916s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Visit Date (Required)_visit_date""))",Chrome 126.0.0.0,,,20-06-2024 14:59:33,20-06-2024 14:59:33,0.563s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/td_26""))",Chrome 126.0.0.0,,,20-06-2024 14:59:33,20-06-2024 14:59:34,0.536s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/form_Facility                              _20adf0""))",Chrome 126.0.0.0,,,20-06-2024 14:59:34,20-06-2024 14:59:34,0.505s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/label_Apply for hospital readmission""))",Chrome 126.0.0.0,,,20-06-2024 14:59:34,20-06-2024 14:59:35,0.334s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Book Appointment""))",Chrome 126.0.0.0,,,20-06-2024 14:59:35,20-06-2024 14:59:35,0.650s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Go to Homepage""))",Chrome 126.0.0.0,,,20-06-2024 14:59:35,20-06-2024 14:59:36,0.814s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,20-06-2024 14:59:36,20-06-2024 14:59:37,0.331s,PASSED
,,,,,,,
Test Cases/1st TC - Copy - Copy (2),Chrome 126.0.0.0,,,20-06-2024 14:59:37,20-06-2024 14:59:50,13.137s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,20-06-2024 14:59:37,20-06-2024 14:59:39,2.025s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 126.0.0.0,,,20-06-2024 14:59:39,20-06-2024 14:59:42,3.795s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 126.0.0.0,,,20-06-2024 14:59:42,20-06-2024 14:59:43,0.872s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Chrome 126.0.0.0,,,20-06-2024 14:59:43,20-06-2024 14:59:44,1.033s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 126.0.0.0,,,20-06-2024 14:59:44,20-06-2024 14:59:45,0.348s,PASSED
